name,min_AIC,MSE
"Abilene, TX_Overall",233.1579027,23813.37714
"Abilene, TX_Studio",215.2066288,12860.96058
"Abilene, TX1br",215.6886415,19653.27872
"Abilene, TX2br",229.80308,21194.35415
"Abilene, TX3br",232.892893,34544.78087
"Abilene, TX4br",246.9510452,59159.47877
"Akron, OH_Overall",189.0875441,13978.41749
"Akron, OH_Studio",171.3796606,9193.741651
"Akron, OH1br",168.7124194,8771.230087
"Akron, OH2br",184.9923808,15463.59742
"Akron, OH3br",196.7861439,18900.66643
"Akron, OH4br",201.1052283,22832.28123
"Albany-Schenectady-Troy, NY_Overall",222.9521611,30792.20042
"Albany-Schenectady-Troy, NY_Studio",208.5067232,18220.44582
"Albany-Schenectady-Troy, NY1br",214.4542699,22870.27033
"Albany-Schenectady-Troy, NY2br",224.7315216,35226.6323
"Albany-Schenectady-Troy, NY3br",226.7252684,37493.11537
"Albany-Schenectady-Troy, NY4br",230.4643204,41850.78411
"Albuquerque, NM_Overall",173.6718036,20388.12881
"Albuquerque, NM_Studio",149.059211,8817.081363
"Albuquerque, NM1br",164.0459261,12925.573
"Albuquerque, NM2br",173.3773292,22480.10677
"Albuquerque, NM3br",190.1540762,35740.95562
"Albuquerque, NM4br",198.6979051,50550.46921
"Allentown-Bethlehem-Easton, PA-NJ_Overall",202.6086307,31052.59409
"Allentown-Bethlehem-Easton, PA-NJ_Studio",190.2847628,15041.76528
"Allentown-Bethlehem-Easton, PA-NJ1br",195.2549642,19485.30806
"Allentown-Bethlehem-Easton, PA-NJ2br",209.1496226,33402.99624
"Allentown-Bethlehem-Easton, PA-NJ3br",216.2293379,47885.78851
"Allentown-Bethlehem-Easton, PA-NJ4br",221.3649452,49794.77871
"Ames, IA_Overall",217.7041523,22800.48554
"Ames, IA_Studio",8,1.23E+67
"Ames, IA1br",8,3.12E+52
"Ames, IA2br",8,8.37E+53
"Ames, IA3br",8,4.28E+51
"Ames, IA4br",8,1.48E+64
"Anchorage, AK_Overall",199.9320227,46265.10703
"Anchorage, AK_Studio",186.7527303,33843.66152
"Anchorage, AK1br",192.0403253,40609.98498
"Anchorage, AK2br",209.3869598,70159.23539
"Anchorage, AK3br",217.0613136,85467.25553
"Anchorage, AK4br",227.0542627,129248.7611
"Ann Arbor, MI_Overall",214.5148761,38540.084
"Ann Arbor, MI_Studio",205.9251979,27719.69745
"Ann Arbor, MI1br",203.459898,29426.69041
"Ann Arbor, MI2br",214.3216302,44612.78636
"Ann Arbor, MI3br",226.6419461,54230.78761
"Ann Arbor, MI4br",235.2388499,74120.30273
"Asheville, NC_Overall",200.07907,18385.04669
"Asheville, NC_Studio",197.9927949,17729.67314
"Asheville, NC1br",189.1511693,13455.58845
"Asheville, NC2br",197.291143,17075.04014
"Asheville, NC3br",210.3918828,26706.70269
"Asheville, NC4br",219.6796532,39951.65715
"Athens-Clarke County, GA_Overall",198.317234,26133.75076
"Athens-Clarke County, GA_Studio",188.2257831,9536.662541
"Athens-Clarke County, GA1br",192.0001799,11435.93326
"Athens-Clarke County, GA2br",195.3141768,23770.7051
"Athens-Clarke County, GA3br",210.4310347,41574.09779
"Athens-Clarke County, GA4br",219.2431097,52289.89501
"Atlanta-Sandy Springs-Alpharetta, GA_Overall",180.5064616,35711.69182
"Atlanta-Sandy Springs-Alpharetta, GA_Studio",166.7137452,26423.40034
"Atlanta-Sandy Springs-Alpharetta, GA1br",174.5525348,27450.23677
